GROUP_ID,PERSON_ID
DOC_ACC_SHOP_LEAD,100205
DOC_ACC_SHOP_LEAD,100586
FLEX-PROD-TECH,100105
DOC_ACC_SHOP_LEAD,103986
DOC_ACC_SHOP_LEAD,103989
DOC_ACC_SHOP_LEAD,WC2185
DOC_ACC_SHOP_LEAD,WC2175
DOC_ACC_SHOP_LEAD,100004
DOC_ACC_SHOP_LEAD,103988
ARG_ENG_SPACE,103161
DOC_ACC_ITAR,102325
DOC_ACC_SHOP_LEAD,WC2135
ARG_ENG_SPACE,103905
TRAIN_MANUF_FLEX,100865
TRAIN_MANUF_HEATERS,100013
TRAIN_MANUF_SEN/INS,100222
DOC_ACC_SHOP_LEAD,WC2130
DOC_ACC_SHOP_LEAD,WC2105
TRAIN_DESIGN_ENG,100179
TRAIN_SALES,100181
TRAIN_SALES,100574
TRAIN_MATERIALS,100654
DOC_ACC_SHOP_LEAD,103993
DOC_ACC_SHOP_LEAD,103994
DOC_ACC_ENG,103107
ARG_TECH_WRITERS,103611
DOC_ACC_SHOP_LEAD,104004
DOC_ACC_SHOP_LEAD,104008
TRAIN_IT,100203
TRAIN_ACCT,100145
TRAIN_QA,100210
TRAIN_QA,100355
DOC_ACC_ITAR,100308
DOC_ACC_SHOP_LEAD,104009
DOC_ACC_SHOP_LEAD,WC3360
DOC_ACC_SHOP_LEAD,WC3320
DOC_ACC_SHOP_LEAD,WC3270
DOC_ACC_SHOP_LEAD,WC3260
DOC_ACC_SHOP_LEAD,WC3170
DOC_ACC_ITAR,103040
DOC_ACC_SHOP_LEAD,WC3090
DOC_ACC_SHOP_LEAD,WC3060
DOC_ACC_MTRL_MNG,100654
DOC_ACC_INSP,100169
DOC_ACC_INSP,100187
DOC_ACC_ENG,102055
ARG_SNRS_LAMINATED,102055
DOC_ACC_SALES,102138
DOC_ACC_SALES,102140
TRAIN_MANUF_HEATERS,103368
ARG_TSR_MA,MERYEMBENSLIMANE1
DOC_ACC_ENG_SUP,100105
DOC_ACC_EXT,102507
DOC_ACC_ENG,102645
DOC_ACC_ENG,103055
DOC_ACC_ENG,102649
ARG_HTR_PMD_QUOTE,100259
ARG_SNSR_NEWPRODUCT,103511
DOC_ACC_ENG_SUP,100485
DOC_ACC_DELIVERY,102358
ARG_HTR_ENG_COORD,100259
ARG_HTR2_ENG_COORD,100259
DOC_ACC_SHOP_LEAD,WC3100
DOC_ACC_SHOP_LEAD,100822
DOC_ACC_SHOP_LEAD,100031
ARG_PLAN_TSCS,100205
TRAIN_MANUF_ENG,100483
ARG_PLAN_TSCS,100256
DOC_ACC_SHOP_LEAD,WC1733
ARG_PLAN_TSCS,100754
DOC_ACC_ENG,100161
DOC_ACC_ENG,102715
DOC_ACC_SHOP_LEAD,100214
DOC_ACC_SHOP_LEAD,WC1405
DOC_ACC_PLN,100628
DOC_ACC_IT,TAXAUDITUSER
TRAIN_MANUF_FLEX,100468
DOC_ACC_HR,102514
DOC_ACC_HR,102578
ARG_PLAN_HTR,100031
DOC_ACC_SHOP_FLR_SUP,103334
DOC_ACC_MTRL_MNG,100541
DOC_ACC_ITAR,103303
DOC_ACC_ENG,103022
DOC_ACC_PLT_SVC,100257
ARG_FLEX_MFG_ENG,102057
ARG_PSE_ISE,100172
ARG_PSE_ISE,100060
DOC_ACC_ENG,100060
DOC_ACC_SHOP_LEAD,102711
DOC_ACC_ITAR,103309
DOC_ACC_MTRL_MNG,100061
DOC_ACC_PLN,100417
DOC_ACC_SHOP_LEAD,103451
ARG_ECO_SA,102322
DOC_ACC_SHOP_LEAD,WC1425
FLEX PRODUCT DESIGN,102057
DOC_ACC_ENG,100756
DOC_ACC_ENG,103011
DOC_ACC_SHOP_LEAD,110565
ARG_TSR_SA,102322
DOC_ACC_ITAR,100021
DOC_ACC_ENG,100021
DOC_ACC_ITAR,103104
DOC_ACC_ITAR,100060
DOC_ACC_ITAR,100068
DOC_ACC_ITAR,100104
DOC_ACC_SHOP_LEAD,103088
DOC_ACC_PLN,100413
ARG_INV_HTR,100942
DOC_ACC_SHOP_FLR_SUP,103344
DOC_ACC_SHOP_LEAD,WC5115
DOC_ACC_SHOP_LEAD,102341
DOC_ACC_ITAR,100105
DOC_ACC_MTRL_MNG,100307
DOC_ACC_ITAR,100146
DOC_ACC_ITAR,100172
ARG_INV_HTR,100028
DOC_ACC_ITAR,100219
DOC_ACC_ITAR,100246
DOC_ACC_ITAR,100331
DOC_ACC_ITAR,100369
DOC_ACC_ITAR,100397
DOC_ACC_ITAR,100430
DOC_ACC_ITAR,100435
DOC_ACC_ITAR,100483
DOC_ACC_ITAR,100529
DOC_ACC_ITAR,100552
DOC_ACC_ITAR,100573
DOC_ACC_ITAR,100599
DOC_ACC_ITAR,100628
DOC_ACC_ITAR,100634
DOC_ACC_ITAR,100679
DOC_ACC_ITAR,100700
DOC_ACC_ITAR,100756
DOC_ACC_ITAR,102055
DOC_ACC_ENG,103395
DOC_ACC_SHOP_LEAD,103118
DOC_ACC_ITAR,100907
DOC_ACC_ENG_SUP,103135
DOC_ACC_SHOP_LEAD,100491
DOC_ACC_ENG,103069
DOC_ACC_ENG_SUP,110187
DOC_ACC_ITAR,103142
DOC_ACC_ITAR,103141
DOC_ACC_SHOP_LEAD,110567
DOC_ACC_MNGR,103069
DOC_ACC_FINANCE,120059
DOC_ACC_SHOP_LEAD,110512
DOC_ACC_ENG,103161
DOC_ACC_SALES,120066
DOC_ACC_ENG_SUP,103165
DOC_ACC_ENG_SUP,102450
ARG_FRANCE,102140
DOC_ACC_ENG,103126
ARG_FLX_DEM,103415
DOC_ACC_ENG,102726
DOC_ACC_PLN,100031
DOC_ACC_ACCTS_PAY,120108
DOC_ACC_MTRL_MNG,103274
DOC_ACC_SHOP_LEAD,103212
DOC_ACC_SHOP_LEAD,103455
DOC_ACC_SHOP_LEAD,110548
DOC_ACC_SHOP_LEAD,103488
DOC_ACC_ENG,120058
DOC_ACC_SHOP_LEAD,103472
DOC_ACC_SALES,103227
DOC_ACC_SHOP_LEAD,103027
DOC_ACC_DELIVERY,103236
DOC_ACC_ITAR,100357
DOC_ACC_SALES,120093
DOC_ACC_SALES,120094
DOC_ACC_SHOP_LEAD,100103
DOC_ACC_IT,103063
DOC_ACC_ITAR,100595
DOC_ACC_ITAR,100698
DOC_ACC_ITAR,100824
DOC_ACC_ITAR,100868
DOC_ACC_ITAR,102271
DOC_ACC_ITAR,102387
DOC_ACC_SHOP_LEAD,103498
DOC_ACC_ITAR,103020
DOC_ACC_MTRL_MNG,100359
DOC_ACC_SHOP_LEAD,110594
DOC_ACC_SHOP_LEAD,110593
DOC_ACC_SHOP_LEAD,130039
DOC_ACC_ENG,100551
DOC_ACC_QA_ENG,102450
DOC_ACC_ITAR,103251
DOC_ACC_PLT_SVC,103176
DOC_ACC_ENG,103511
DOC_ACC_SALES,103512
DOC_ACC_SALES,120084
DOC_ACC_INSP,103247
DOC_ACC_SHOP_LEAD,103513
DOC_ACC_ITAR,103084
DOC_ACC_ITAR,100144
DOC_ACC_SHOP_LEAD,103515
DOC_ACC_SHOP_LEAD,103514
DOC_ACC_ENG_SUP,103156
DOC_ACC_ENG_SUP,103189
DOC_ACC_SHOP_LEAD,103066
DOC_ACC_ITAR,100413
DOC_ACC_ENG,120090
DOC_ACC_ENG,120080
DOC_ACC_ENG,120071
DOC_ACC_ENG,103077
DOC_ACC_R&D,103160
DOC_ACC_MTRL_MNG,103239
ARG_FRANCE_ENG,1021
